# Sesame ndvi_mean_0 ndvi_mean_1 ndvi_mean_2 ndvi_mean_3 ndvi_mean_4 ndvi_mean_5 ndvi_mean_6 ndvi_mean_7 ndvi_mean_8 ndvi_mean_9 ndvi_mean_10 ndvi_mean_11
1.000000 0.448706 0.354276 0.465123 0.729599 0.704720 0.626711 0.744654 0.748101 0.771007 0.752936 0.686383 0.521938
1.000000 0.349772 0.347557 0.397041 0.684286 0.629800 0.630146 0.751186 0.794280 0.799221 0.649120 0.624437 0.571095
1.000000 0.221789 0.204299 0.198337 0.172829 0.366078 0.609162 0.739659 0.644641 0.500393 0.355170 0.299106 0.232517
1.000000 0.507381 0.397303 0.431143 0.725130 0.788645 0.742516 0.778041 0.713757 0.734654 0.724313 0.666352 0.536451
1.000000 0.469667 0.382684 0.478679 0.740413 0.731195 0.648688 0.702074 0.717865 0.746467 0.720475 0.651882 0.522482
1.000000 0.247462 0.214898 0.313983 0.475202 0.664915 0.718080 0.778673 0.814541 0.818403 0.786883 0.672236 0.478978
1.000000 0.204766 0.219556 0.223903 0.255386 0.450964 0.555367 0.557128 0.504027 0.391683 0.296947 0.252515 0.202539
1.000000 0.271444 0.242073 0.232055 0.420361 0.409326 0.731817 0.685778 0.651269 0.529400 0.454529 0.354655 0.308022
1.000000 0.343136 0.343796 0.424654 0.727321 0.734056 0.649807 0.635883 0.615240 0.674531 0.657777 0.551892 0.470327
1.000000 0.422648 0.350396 0.324272 0.704528 0.775766 0.616304 0.731378 0.710720 0.733220 0.650270 0.602003 0.501618
1.000000 0.360908 0.311766 0.496961 0.432652 0.404642 0.463826 0.746289 0.732923 0.716918 0.693587 0.628711 0.538490
1.000000 0.258145 0.279886 0.355532 0.614490 0.625002 0.551080 0.557064 0.658256 0.627737 0.591512 0.498437 0.439975
1.000000 0.342644 0.261006 0.325405 0.536331 0.790622 0.809360 0.675106 0.694239 0.753444 0.675832 0.510848 0.395736
1.000000 0.311485 0.246153 0.304407 0.695305 0.818746 0.808062 0.802038 0.754909 0.704017 0.634431 0.547954 0.421442
1.000000 0.265020 0.263929 0.338617 0.471369 0.515105 0.599213 0.621847 0.629202 0.625502 0.537026 0.439823 0.361519
1.000000 0.273655 0.227662 0.278364 0.655451 0.738369 0.754576 0.760653 0.680187 0.609940 0.562744 0.465238 0.352467
1.000000 0.330074 0.329339 0.383540 0.603921 0.299358 0.551280 0.706540 0.684440 0.661421 0.617434 0.629170 0.523567
1.000000 0.266902 0.266539 0.355150 0.590932 0.646546 0.675381 0.708942 0.686858 0.655205 0.588270 0.474921 0.352916
1.000000 0.494212 0.402398 0.323059 0.677528 0.810220 0.737932 0.799202 0.813005 0.738650 0.688791 0.615463 0.517251
1.000000 0.422410 0.346426 0.311529 0.633741 0.674273 0.675118 0.684698 0.770375 0.744153 0.699629 0.626734 0.452242
1.000000 0.285138 0.254359 0.310093 0.466189 0.637195 0.711514 0.753230 0.705887 0.619530 0.581405 0.486561 0.367444
1.000000 0.267134 0.243416 0.265642 0.604550 0.574541 0.501292 0.535020 0.586496 0.541757 0.493247 0.396913 0.347681
1.000000 0.257763 0.339348 0.398967 0.605863 0.622677 0.671054 0.655798 0.486555 0.446807 0.420232 0.424104 0.369531
