# Maize ndvi_mean_0 ndvi_mean_1 ndvi_mean_2 ndvi_mean_3 ndvi_mean_4 ndvi_mean_5 ndvi_mean_6 ndvi_mean_7 ndvi_mean_8 ndvi_mean_9 ndvi_mean_10 ndvi_mean_11
1.000000 0.256256 0.264468 0.329111 0.552132 0.607174 0.651378 0.764179 0.780180 0.740010 0.568730 0.489401 0.346004
1.000000 0.267214 0.240606 0.279354 0.537863 0.511042 0.490049 0.611494 0.626947 0.617274 0.560232 0.506428 0.385538
1.000000 0.227712 0.274321 0.351781 0.614602 0.664618 0.602345 0.634820 0.634631 0.598894 0.607168 0.503996 0.363749
1.000000 0.261742 0.279975 0.249174 0.375134 0.411123 0.642105 0.781343 0.717077 0.772292 0.715084 0.577182 0.380798
1.000000 0.259481 0.243921 0.239347 0.375900 0.593697 0.683742 0.685827 0.705626 0.737668 0.729891 0.601195 0.393470
1.000000 0.167332 0.197499 0.299961 0.336226 0.481750 0.680372 0.686865 0.618179 0.502035 0.398520 0.326803 0.260460
1.000000 0.174151 0.184273 0.276531 0.735602 0.737986 0.578023 0.568527 0.572653 0.393058 0.370914 0.306709 0.251390
1.000000 0.146287 0.184376 0.226572 0.419429 0.556529 0.792354 0.747061 0.486093 0.440381 0.370318 0.295545 0.234392
1.000000 0.174151 0.184273 0.276531 0.735602 0.737986 0.578023 0.568527 0.572653 0.393058 0.370914 0.306709 0.251390
1.000000 0.146287 0.184376 0.226572 0.419429 0.556529 0.792354 0.747061 0.486093 0.440381 0.370318 0.295545 0.234392
1.000000 0.177099 0.174388 0.307848 0.598116 0.764818 0.566026 0.582660 0.539535 0.439504 0.392964 0.300198 0.236818
1.000000 0.163589 0.171590 0.183532 0.172549 0.286503 0.524903 0.465167 0.449228 0.355888 0.293034 0.236141 0.216027
1.000000 0.343207 0.284237 0.331221 0.433533 0.523689 0.427577 0.728613 0.656017 0.663885 0.576063 0.558690 0.372248
1.000000 0.270076 0.275415 0.284982 0.616544 0.632291 0.681397 0.673212 0.525348 0.422249 0.383599 0.318861 0.277701
