# Others ndvi_mean_0 ndvi_mean_1 ndvi_mean_2 ndvi_mean_3 ndvi_mean_4 ndvi_mean_5 ndvi_mean_6 ndvi_mean_7 ndvi_mean_8 ndvi_mean_9 ndvi_mean_10 ndvi_mean_11
1.000000 0.226358 0.196313 0.247181 0.435405 0.429514 0.536879 0.601560 0.645505 0.525935 0.455617 0.346875 0.290525
1.000000 0.292716 0.309187 0.476221 0.630600 0.710649 0.609778 0.608809 0.505193 0.447125 0.438314 0.519463 0.312561
1.000000 0.295880 0.252223 0.287236 0.464319 0.747013 0.834979 0.801860 0.768403 0.659018 0.614984 0.545810 0.447766
1.000000 0.267945 0.259177 0.347862 0.552822 0.588367 0.626774 0.690087 0.696918 0.702761 0.557655 0.434240 0.363308
1.000000 0.254632 0.251800 0.277550 0.353840 0.478289 0.532266 0.753860 0.701274 0.641502 0.528445 0.373108 0.294864
1.000000 0.310658 0.267413 0.263762 0.317763 0.698943 0.791921 0.762017 0.616183 0.455564 0.419902 0.347233 0.283113
1.000000 0.265964 0.233640 0.177750 0.227641 0.390142 0.597678 0.696981 0.736265 0.565979 0.478890 0.318529 0.305396
1.000000 0.290879 0.240850 0.232223 0.435305 0.692966 0.683604 0.777592 0.746157 0.660628 0.579928 0.461102 0.371078
1.000000 0.203420 0.198214 0.259950 0.333476 0.731693 0.720789 0.795608 0.762559 0.710827 0.725086 0.610482 0.500146
1.000000 0.252387 0.236599 0.275839 0.351285 0.571040 0.677183 0.725133 0.595434 0.525394 0.531509 0.469930 0.409491
1.000000 0.326928 0.275831 0.247446 0.453707 0.605849 0.678234 0.746553 0.777180 0.589643 0.520292 0.457111 0.357599
1.000000 0.241561 0.269704 0.290753 0.405094 0.650098 0.856589 0.582638 0.588645 0.691476 0.617030 0.466383 0.381953
1.000000 0.234618 0.215245 0.216084 0.647483 0.806540 0.709381 0.769130 0.701451 0.607434 0.414258 0.476307 0.449433
1.000000 0.233078 0.291537 0.339879 0.690744 0.711623 0.695450 0.740621 0.808671 0.772590 0.669045 0.582928 0.363666
1.000000 0.315037 0.302631 0.345038 0.648332 0.691423 0.684850 0.695527 0.760996 0.716308 0.670806 0.647538 0.445527
1.000000 0.259316 0.222644 0.268305 0.320654 0.783355 0.698626 0.811884 0.781703 0.645155 0.651890 0.536512 0.413402
1.000000 0.204850 0.201127 0.247209 0.655781 0.580302 0.540438 0.602171 0.702125 0.685354 0.584870 0.480008 0.338979
1.000000 0.228406 0.221884 0.295696 0.637652 0.683962 0.588965 0.695583 0.764253 0.761978 0.694426 0.544326 0.385325
